"Area","Instituicao","Modalidade","Inicio_Doutorado_disc","Inicio_Mestrado_disc","Docentes_disc","Dissertacoes_disc","Teses_disc","Di_Te_disc","TotalPeriodicos_disc","Total_Qualificados_disc","A1_disc","A2_disc","B1_disc","B2_disc","B3_disc","B4_disc","B5_disc","C_disc","NC_disc","Conferencias_disc","Livros_disc","Capitulos_disc","Coletaneas_disc","Prod_Artistica_disc","Outros_disc","Conceito"
"Admin_CienContabeis_Tur","USP","Acad","(1973.8, 1978.2]","(1969.8, 1974.7]","(16.4, 22.6]","(28.4, 42.6]","(36, 45]","(0.972, 1.237]","(132.4, 165.5]","(123.6, 154.5]","[0, 7.2]","(7.9, 15.8]","(36.3, 48.4]","(21.6, 32.4]","(22.5, 30]","(8.6, 17.2]","(8.4, 16.8]","(9, 13.5]","(15.3, 20.4]","(320, 445]","(4.6, 9.2]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Seis"
"Admin_CienContabeis_Tur","PUC/MG","Prof",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(71, 86.2]","[0, 9]",NA,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(18, 22.5]","[0, 5.1]","(67, 100.5]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Cinco"
"Admin_CienContabeis_Tur","UFRJ","Acad","(1973.8, 1978.2]","(1969.8, 1974.7]","(22.6, 28.8]","(104.8, 126.4]","(9, 18]","(6.772, 87]","(66.2, 99.3]","(61.8, 92.7]","(7.2, 14.4]","(31.6, 39.5]","(12.1, 24.2]","(10.8, 21.6]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","(137, 172.5]","(4.6, 9.2]","(45.6, 60.8]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Cinco"
"Admin_CienContabeis_Tur","UNIVALI","Acad",NA,"(1994.3, 1999.2]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Cinco"
"Admin_CienContabeis_Tur","FURB","Acad",NA,"(1994.3, 1999.2]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",NA,"(132.4, 165.5]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(30, 37.5]","(17.2, 25.8]","(8.4, 16.8]","(27, 33]","(5.1, 10.2]","(320, 445]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]","Quatro"
"Admin_CienContabeis_Tur","PUC/SP","Acad",NA,"(1974.7, 1979.6]","(10.2, 16.4]","(126.4, 159.8]","[0, 9]",NA,"(99.3, 132.4]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","(16.8, 25.2]","(13.5, 18]","(15.3, 20.4]","(137, 172.5]","[0, 4.6]","(76, 92.4]","[0, 2.9]","[0, 6.2]","(6.2, 9.3]","Quatro"
"Admin_CienContabeis_Tur","UFLA","Acad","(1995.8, 2000.2]","(1974.7, 1979.6]","(16.4, 22.6]","(56.8, 71]","(9, 18]","(3.767, 6.772]","(99.3, 132.4]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","(8.6, 17.2]","(8.4, 16.8]","(9, 13.5]","(15.3, 20.4]","(254.5, 320]","(4.6, 9.2]","(30.4, 45.6]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFRGS","Prof",NA,"(1994.3, 1999.2]","(22.6, 28.8]","[0, 14.2]","[0, 9]",NA,"(132.4, 165.5]","(92.7, 123.6]","(7.2, 14.4]","(15.8, 23.7]","(24.2, 36.3]","(21.6, 32.4]","(7.5, 15]","(8.6, 17.2]","(8.4, 16.8]","(9, 13.5]","(10.2, 15.3]","(320, 445]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFSC","Acad",NA,"(1999.2, 2004.1]","[4, 10.2]","(28.4, 42.6]","[0, 9]",NA,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(15, 22.5]","(17.2, 25.8]","(8.4, 16.8]","(18, 22.5]","[0, 5.1]","(254.5, 320]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UniFECAP","Acad",NA,"(1994.3, 1999.2]","(10.2, 16.4]","(56.8, 71]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(100.5, 137]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
